Country,MedianSalary,MedianSatisfaction,Gap_z
Mexico,12918.6602870813,8.0,2.0653887098695303
Romania,18733.4894613583,8.0,1.814937947957111
Bulgaria,19459.4594594595,8.0,1.7836696623891846
Czech Republic,19577.1339075959,8.0,1.7786013010822421
Greece,21505.376344086,8.0,1.6955498866903738
Hungary,22063.194449834402,8.0,1.6715240786389103
South Africa,32739.420935412,8.0,1.211687860321298
Ukraine,17861.409796893648,7.5,0.9384184978268063
Austria,45161.2903225806,8.0,0.6766649801728447
Finland,46236.5591397849,8.0,0.6303520298765934
Australia,67045.4545454545,7.0,-2.0940704781294834
Ireland,62365.5913978495,7.0,-1.8925038876355749
Germany,53570.9677419355,7.0,-1.513710267162534
United States,93250.0,8.0,-1.3945659394512588
India,7781.52987813831,6.0,-1.3696730475431518
United Kingdom,48750.0,7.0,-1.3060661545092902
Switzerland,90500.0,8.0,-1.2761205690685962
France,40860.2150537634,7.0,-0.9662448817105441
Belgium,37634.4086021505,7.0,-0.8273060308217901
Spain,32258.064516129,7.0,-0.5957412793405337
